📺央视频道,#genre#
CCTV-1综合,http://116.233.38.20:8888/rtp/233.18.204.168:5140
CCTV-1综合,http://116.233.38.20:8888/rtp/233.18.204.52:5140
CCTV-2财经,http://116.233.38.20:8888/rtp/233.18.204.68:5140
CCTV-3综艺,http://116.233.38.20:8888/rtp/233.18.204.69:5140
CCTV-4中文国际,http://116.233.38.20:8888/rtp/233.18.204.70:5140
CCTV-6电影,http://175.0.65.93:4022/rtp/239.76.246.156:1234
CCTV-6电影,http://175.0.65.93:4022/rtp/239.76.253.156:9000
CCTV-6电影,http://175.0.72.132:4022/rtp/239.76.246.156:1234
CCTV-6电影,http://175.0.72.132:4022/rtp/239.76.253.156:9000
CCTV-10科教,http://116.233.38.20:8888/rtp/233.18.204.76:5140
CCTV-11戏曲,http://116.233.38.20:8888/rtp/233.18.204.77:5140
CCTV-12社会与法,http://116.233.38.20:8888/rtp/233.18.204.78:5140
CCTV-13新闻,http://116.233.38.20:8888/rtp/233.18.204.79:5140
CCTV-14少儿,http://116.233.38.20:8888/rtp/233.18.204.80:5140
CCTV-15音乐,http://116.233.38.20:8888/rtp/233.18.204.81:5140
CCTV-16奥林匹克,http://116.233.38.20:8888/rtp/233.18.204.82:5140
CCTV-16奥林匹克,http://175.0.65.93:4022/rtp/239.76.246.98:1234
CCTV-16奥林匹克,http://175.0.65.93:4022/rtp/239.76.253.98:9000
CCTV-16奥林匹克,http://175.0.72.132:4022/rtp/239.76.246.98:1234
CCTV-16奥林匹克,http://175.0.72.132:4022/rtp/239.76.253.98:9000
CCTV-17农业农村,http://116.233.38.20:8888/rtp/233.18.204.83:5140

📡卫视频道,#genre#
湖南卫视,http://175.0.65.93:4022/rtp/239.76.252.115:9000
湖南卫视,http://175.0.72.132:4022/rtp/239.76.252.115:9000
湖南卫视4K,http://116.233.38.20:8888/rtp/233.18.204.227:5140
湖南卫视4K,http://175.0.65.93:4022/rtp/239.76.246.100:1234
湖南卫视4K,http://175.0.65.93:4022/rtp/239.76.246.63:1234
湖南卫视4K,http://175.0.65.93:4022/rtp/239.76.253.100:9000
湖南卫视4K,http://175.0.65.93:4022/rtp/239.76.253.224:9000
湖南卫视4K,http://175.0.65.93:4022/rtp/239.76.253.62:9000
湖南卫视4K,http://175.0.72.132:4022/rtp/239.76.246.100:1234
湖南卫视4K,http://175.0.72.132:4022/rtp/239.76.246.63:1234
湖南卫视4K,http://175.0.72.132:4022/rtp/239.76.253.100:9000
湖南卫视4K,http://175.0.72.132:4022/rtp/239.76.253.62:9000
北京卫视,http://116.233.38.20:8888/rtp/233.18.204.87:5140
北京卫视4K,http://175.0.65.93:4022/rtp/239.76.246.150:1234
北京卫视4K,http://175.0.65.93:4022/rtp/239.76.246.246:1234
北京卫视4K,http://175.0.65.93:4022/rtp/239.76.253.150:9000
北京卫视4K,http://175.0.72.132:4022/rtp/239.76.246.150:1234
北京卫视4K,http://175.0.72.132:4022/rtp/239.76.246.246:1234
北京卫视4K,http://175.0.72.132:4022/rtp/239.76.253.150:9000
东方卫视4K,http://175.0.65.93:4022/rtp/239.76.254.224:9000
东方卫视4K,http://175.0.65.93:4022/rtp/239.76.254.226:9000
东方卫视4K,http://175.0.72.132:4022/rtp/239.76.254.224:9000
东方卫视4K,http://175.0.72.132:4022/rtp/239.76.254.226:9000
三沙卫视,http://116.233.38.20:8888/rtp/233.18.204.172:5140
东南卫视,http://116.233.38.20:8888/rtp/233.18.204.94:5140
四川卫视4K,http://175.0.65.93:4022/rtp/239.76.254.232:9000
四川卫视4K,http://175.0.65.93:4022/rtp/239.76.254.234:9000
四川卫视4K,http://175.0.72.132:4022/rtp/239.76.254.232:9000
四川卫视4K,http://175.0.72.132:4022/rtp/239.76.254.234:9000
山东卫视4K,http://175.0.65.93:4022/rtp/239.76.254.228:9000
山东卫视4K,http://175.0.65.93:4022/rtp/239.76.254.230:9000
